99501,Anchorage Borough,1.0
99502,Anchorage Borough,1.0
99503,Anchorage Borough,1.0
99504,Anchorage Borough,1.0
99505,Anchorage Borough,1.0
99506,Anchorage Borough,1.0
99507,Anchorage Borough,1.0
99508,Anchorage Borough,1.0
99509,Anchorage Borough,1.0
99510,Anchorage Borough,1.0
99511,Anchorage Borough,1.0
99513,Anchorage Borough,1.0
99514,Anchorage Borough,1.0
99515,Anchorage Borough,1.0
99516,Anchorage Borough,1.0
99517,Anchorage Borough,1.0
99518,Anchorage Borough,1.0
99519,Anchorage Borough,1.0
99520,Anchorage Borough,1.0
99521,Anchorage Borough,1.0
99522,Anchorage Borough,1.0
99523,Anchorage Borough,1.0
99524,Anchorage Borough,1.0
99529,Anchorage Borough,1.0
99530,Anchorage Borough,1.0
99540,Anchorage Borough,1.0
99545,Alaska,1.0
99546,Adak,1.04
99547,Atka,1.0
99548,Lake Peninsula Brg,1.0
99549,Port Heiden,1.0
99550,Kodiak Island Borough,1.0
99551,Alaska,1.0
99552,Akiak,1.0
99553,Akutan,1.0
99554,Alakanuk,1.04
99555,Aleknagik,1.05
99556,Kenai Peninsula,1.03
99557,Aniak,1.02
99558,Anvik,1.0
99559,Bethel,1.06
99561,Chefornak,1.02
99563,Chevak,1.03
99564,Chignik,1.0
99565,Kenai,1.06
99566,Alaska,1.0
99567,Anchorage Borough,1.0
99568,Kenai Peninsula,1.03
99569,Clarks Point,1.06
99571,Cold Bay,1.0
99572,Kenai Peninsula,1.03
99573,Alaska,1.0
99574,Cordova,1.06
99575,Alaska,1.0
99576,Dillingham,1.06
99577,Anchorage Borough,1.0
99578,Eek,1.02
99579,Egegik,1.0
99580,Ekwok,1.0
99581,Emmonak,1.04
99583,False Pass,1.03
99585,Marshall,1.04
99586,Alaska,1.0
99587,Anchorage Borough,1.0
99588,Alaska,1.0
99589,Goodnews Bay,1.0
99590,Grayling,1.0
99591,Saint George,1.0
99599,Anchorage Borough,1.0
99602,Holy Cross,1.0
99603,Homer,1.0785
99604,Hooper Bay,1.05
99605,Kenai Peninsula,1.03
99606,Kenai Peninsula,1.03
99607,Upper Kalskag,1.0
99608,Kodiak Island Borough,1.0
99609,Alaska,1.0
99610,Kenai Peninsula,1.03
99611,Kenai,1.06
99612,King Cove,1.06
99613,Bristol Bay Borough,1.0
99614,Alaska,1.0
99615,Kodiak,1.07
99619,Kodiak,1.07
99620,Kotlik,1.03
99621,Kwethluk,1.05
99622,Alaska,1.0
99623,Matanuska-Susitna Brg,1.0
99624,Larsen Bay,1.03
99625,Lake Peninsula Brg,1.0
99626,Lower Kalskag,1.0
99627,Mcgrath,1.0
99628,Manokotak,1.02
99629,Wasilla,1.025
99630,Mekoryuk,1.04
99631,Kenai Peninsula,1.03
99632,Mountain Village,1.03
99633,Bristol Bay Borough,1.0
99634,Napakiak,1.05
99635,Kenai Peninsula,1.03
99636,New Stuyahok,1.0
99637,Toksook Bay,1.02
99638,Alaska,1.0
99639,Kenai Peninsula,1.03
99640,Lake Peninsula Brg,1.0
99641,Nunapitchuk,1.04
99643,Old Harbor,1.03
99644,Ouzinkie,1.06
99645,Palmer,1.03
99647,Lake Peninsula Brg,1.0
99648,Lake Peninsula Brg,1.0
99649,Pilot Point,1.0
99650,Pilot Station,1.04
99651,Platinum,1.0
99652,Matanuska-Susitna Brg,1.0
99653,Lake Peninsula Brg,1.0
99654,Wasilla,1.025
99655,Quinhagak,1.03
99656,Alaska,1.0
99657,Russian Mission,1.0
99658,Saint Marys,1.03
99659,Saint Michael,1.04
99660,Saint Paul,1.035
99661,Sand Point,1.04
99662,Scammon Bay,1.06
99663,Seldovia,1.095
99664,Seward,1.07
99665,Shageluk,1.0
99666,Nunam Iqua,1.04
99667,Matanuska-Susitna Brg,1.0
99668,Alaska,1.0
99669,Soldotna,1.06
99670,Bristol Bay Borough,1.0
99671,Stebbins,1.04
99672,Kenai Peninsula,1.03
99674,Matanuska-Susitna Brg,1.0
99675,Alaska,1.0
99676,Matanuska-Susitna Brg,1.03
99677,Alaska,1.0
99678,Togiak,1.02
99679,Alaska,1.0
99680,Alaska,1.0
99681,Alaska,1.0
99682,Kenai Peninsula,1.03
99683,Matanuska-Susitna Brg,1.0
99684,Unalakleet,1.05
99685,Unalaska,1.03
99686,Valdez,1.0
99687,Wasilla,1.025
99688,Matanuska-Susitna Brg,1.0
99689,Yakutat,1.05
99690,Nightmute,1.02
99691,Nikolai,1.0
99692,Unalaska,1.03
99693,Whittier,1.05
99694,Houston,1.02
99695,Anchorage Borough,1.0
99697,Kodiak,1.07
99701,Fort Wainwright,1.0
99702,Fairbanks N Star Brg,1.0
99703,Fort Wainwright,1.0
99704,Clear Air Force Base,1.0
99705,North Pole,1.055
99706,Fairbanks N Star Brg,1.0
99707,Fairbanks,1.0
99708,Fairbanks N Star Brg,1.0
